Title: Title
Label: Nyquist -Z'' vs Z' (3AUT71120)
36.3383204133747 1.0352703011131
36.7240548391308 1.76004537082351
37.0383161233256 2.55619636288486
37.4437620747558 3.70659794466287
37.8654241653392 4.69100921087874
38.4891513468532 5.89365794701382
39.2581114822958 7.41534425543643
40.2849838100472 9.2218177575272
41.6515263987806 11.3851150691067
43.5528245788279 14.0904038367278
46.181405341787 16.9377285311253
49.8141175158862 19.948552701565
54.5759321125879 22.6989604403517
60.3737470943382 24.6369398267106
66.7388586029149 25.3144357049373
72.9878859813233 24.6227676365742
78.4684669861654 22.84984781248
82.9787165434115 20.5610135411799
86.2877531193454 18.3189743845896
88.859400276779 16.4917801150925
90.9707529702409 15.1290532130691
92.7520959380095 14.2679015965151
94.3834792700717 13.9219294574593
96.0126356959516 14.0611738159014
97.769577720205 14.7252355296191
99.7049968074163 15.8076375678397
101.999699502759 17.2974971833784
104.960179256514 19.3238890721736
107.69148754343 21.2393342367426
111.002837144871 23.7134690518706
114.640034099751 26.1996610344318
118.734632565372 29.082978370952
123.309422040937 32.3105000756631
128.249754250363 36.0034372426415
133.541396696028 40.2731967139329
139.660441966865 45.3505888965859
146.354489584219 51.1693844498082
153.891463628969 57.9380515503347
162.373043110642 65.7531791519856
172.021882740669 74.7682736403274
182.953009575715 85.4250616052558
195.54910827535 97.0405036086869
209.972096731028 110.933393412899
226.214618187713 126.967829157804
244.560578958714 145.125762049886
265.461073715024 166.683409614874
288.938274133524 191.02965786696
318.89105486416 218.587316477795
350.319250687999 250.005639385284
387.994895673917 286.718879361567
