Title: AuSPE
Label: Nyquist -Z'' vs Z' (?3AUT71120)
47.5673156342691 0.945771371015164
47.8066331018028 1.37749575895151
47.9881512228171 1.90431259564625
48.0372900831218 2.61395331145363
48.3441347696709 3.38807477967137
48.9405328016488 4.34224612244043
49.5405565065734 5.46528491544988
50.4580680618321 6.78112041735921
51.7404044287596 8.28465685282142
53.5668412229246 9.98956638510114
55.903882549899 11.3388682305905
58.758939479803 12.304020202781
61.8144965462396 12.671311325071
64.8399046383123 12.385325782497
67.5104576955751 11.6304478577144
69.7049718053999 10.6758449488951
71.4600060510071 9.75398322961801
72.8866881107484 9.01136670435249
73.9548738056742 8.60397688283432
74.9780361442217 8.54324314662198
76.1108374612183 8.74298099979454
77.2691885250387 9.20563297234181
78.5330437180847 9.91013886993265
79.9483160521228 10.836250913389
81.5180325781182 12.0098291016309
83.2824376761006 13.4423381583509
85.3678389669599 15.04084664817
87.5533515081409 17.6699700774008
90.1002199211128 19.0243248989564
93.1601279407175 21.5771784565428
96.2798754936076 24.548679355871
100.005850271658 27.8174525625689
104.02568280291 31.6519277764085
108.741547162522 35.9064661955673
114.171541517809 41.0566662758909
120.054559838122 46.8903050633833
127.101237558086 53.5674990963614
135.036748707126 61.4445028470342
144.065613316785 70.2907265939275
154.457652181259 80.7098212924221
166.334193158749 92.6732435480204
179.699995707043 106.009185912263
195.203904896134 121.54218784121
213.435011577732 139.440524420892
233.634632114491 159.68441423221
256.202934300864 182.990958751686
281.670052148504 210.153161173733
313.201569933844 238.850339048206
347.773748405414 272.034116106097
388.735626250923 312.005849879279
