Title: CD147
Label: Nyquist -Z'' vs Z' (?3AUT71120)
73.5572232770786 3.5124198630713
74.1051097320784 3.60504613832438
74.3145590500596 3.90772633008606
74.9375270865902 4.79082840955795
75.4554864466745 5.46748574256786
75.9813848776786 6.4054802501595
76.987003766799 7.54643333771108
78.4172247969238 9.02754926196535
79.9089890907348 10.6332155418696
82.1332973564767 12.6899531350548
84.9168944990535 14.327149993811
88.2257973277502 15.7673097617695
92.0603993266695 16.7010702560084
96.3603587057098 16.8816480242551
100.455869569603 16.1860072948448
104.12405324702 14.7517196057784
106.915701592431 12.9109589160952
109.079593869551 10.9887624391586
110.271335890231 9.42770151262584
111.229247171752 8.34853192721817
111.685179279032 7.89165638962889
112.296152646132 8.0123858364359
112.606436202738 8.67951806956225
113.771624169913 9.75498465894836
114.916521250362 11.2468343532829
116.613476522458 13.106532927607
118.618806668962 15.1800434525482
120.373062287146 18.3478524507792
123.974479109457 19.6183824471728
127.624572821027 22.3341536121835
130.803535863287 25.1737287660017
135.249442242287 27.9821093183433
139.740631931563 31.360962803887
144.726939137385 35.1304467792502
150.333108395161 39.3201278653594
156.440473284629 44.6129820278926
163.297749502739 50.6921269284142
170.893442833027 57.5606407667078
179.700514179632 65.6846798228438
189.815364978875 75.1190737810767
200.906037965952 86.6055110206119
213.945758605638 99.7659712934238
229.041792398993 115.250423941425
247.013129316237 133.382889290162
267.849833630662 153.893172666075
290.444737158411 178.721854948118
318.829377627294 208.028327783699
350.495989039141 239.389307370956
389.967838502888 277.258887469717
443.168569184984 326.965449781842
