Title: Spike
Label: Nyquist -Z'' vs Z' (?3AUT71120)
119.755365184832 9.00668434760505
120.778902928474 8.05995712029923
121.959109083454 7.86029555167971
123.806844757991 8.39436269469203
125.003763746679 9.05108355908103
126.920162843608 9.94520661863757
129.109304619923 11.5284994211149
132.22205864808 13.5055541056029
135.32572400849 15.6952821779936
139.960398537502 18.8537597515183
144.450521770875 21.0729684112346
149.656540037855 23.2381951492666
155.182855434529 25.0552108536229
161.829787405462 26.3474772382455
169.018201342985 26.8868589926556
175.371386071525 26.4253054640033
181.771594399791 24.873761104733
187.256972135348 22.6754831903009
191.595092869602 19.9600215958343
194.919345949475 17.2337507156917
197.386959547003 14.8147677733985
198.897197806872 12.9551948879595
200.006469062071 11.8486088658897
200.657932563032 11.5182411132997
201.38650303456 12.2565387007261
202.627722935559 13.5996782242073
204.216234234045 16.1146243214663
206.655161924387 16.2148964137299
209.466402933005 22.5269589369427
213.52411973111 24.9364924707199
217.8912344391 28.6442345281951
222.896201058374 32.0158385433481
228.562027607346 35.917976961512
234.541561454951 39.8975432175168
241.499311029503 44.7060256064644
249.288303082438 49.9332259819538
257.382042852694 55.6463246554129
266.40753664867 62.7756245324047
276.562316982049 70.7316705685937
287.738775570761 80.0224019583905
300.475388302208 91.3447500390214
314.130441251018 104.019035826875
331.153884951974 119.374414884676
348.891962614855 137.365252066595
370.061964310358 159.092041688882
394.249624378932 184.077181837732
422.101728025317 215.235694075577
458.296973800464 251.60826922677
500.365952240153 296.883706859381
551.146172049019 348.167436453069
