Title: TMPRSS2
Label: Nyquist -Z'' vs Z' (?3AUT71120)
113.200737665551 7.73855043246493
116.818793201792 7.51991445999329
120.848944095627 7.96797429950834
123.721137787234 8.59920662694852
124.598372600283 9.29814963325157
125.811999794231 10.3006211860527
127.439486154259 11.9681244082229
129.439447249335 13.9833631562741
131.770109867933 16.3121343764365
135.103612838272 19.590447601141
138.612176118263 22.3203182004762
142.77411887975 25.2702149831848
147.798440587101 28.3358647720786
153.720390484537 31.328555629341
160.676395183645 34.0357691681262
168.643323258715 36.0688405904433
177.757749987193 36.8316249453338
186.815623212377 36.0265930131534
195.28959812591 33.4984288269168
202.353212475578 29.7408888074133
207.656117270992 25.5315326703636
211.214171030471 21.6096724770157
213.510292176152 18.5480039198903
215.182377354487 16.6117253890529
216.417402741048 15.8739408855857
217.801227764259 16.3093483252242
219.292539464656 17.4419102615734
223.878507955298 17.8140117859476
224.448344412799 22.5413254159345
227.172864594043 24.6203315876054
231.341037249226 27.7447852360358
236.280872569704 31.2292639533957
241.909307628163 34.4825267567329
247.439625329182 38.6587406609385
254.413752144606 42.7012560660425
261.434515468835 47.2689327317218
269.022087163562 52.4989912812002
277.572666923831 58.5932609586729
286.632314175791 65.5340507891012
297.016054761217 73.8240751447383
308.257129341533 83.5993750337529
320.558917330357 94.7828594101185
335.035019922139 107.933081403511
351.434463771471 123.115179580582
370.026721487028 141.157707314231
391.072136953708 162.162097419042
415.047222148327 187.435885051121
444.268016342018 214.337675174029
469.483850865114 240.907801113776
504.330419170464 276.189919695474
